prodcode,bb,ace,arb,arnie,mra,sglti,loop
"88499",,,1,,,,
"20117",,,1,,,,
"41205",,,1,,,,
"35697",,,1,,,,
"82312",,,1,,,,
"71019",,,1,,,,
"73528",,,1,,,,
"66114",,,1,,,,
"74055",,,1,,,,
"80246",,,1,,,,
"77350",,,1,,,,
"82494",,,1,,,,
"764",,,1,,,,
"4155",,,1,,,,
"75409",,,1,,,,
"62337",,,1,,,,
"62140",,,1,,,,
"40571",,,1,,,,
"61495",,,1,,,,
"82423",,,1,,,,
"56204",,,1,,,,
"82413",,,1,,,,
"5117",,,1,,,,
"61053",,,1,,,,
"66829",,,1,,,,
"70922",,,1,,,,
"82375",,,1,,,,
"63222",,,1,,,,
"84133",,,1,,,,
"36939",,,1,,,,
"79723",,,1,,,,
"35174",,,1,,,,
"60506",,,1,,,,
"55821",,,1,,,,
"24484",,,1,,,,
"53220",,,1,,,,
